detector row	table 0	table 1	table 2	table 3	wavelength
349	0	0	0	0	65535
350	0	0	0	0	65535
351	0	0	0	0	65535
352	0	0	0	0	65535
353	0	0	0	0	65535
354	0	0	0	0	65535
355	0	0	0	0	65535
356	0	0	0	0	65535
357	0	0	0	0	65535
358	0	0	0	0	65535
359	0	0	0	0	65535
360	0	0	0	0	65535
361	0	0	0	0	65535
362	0	0	0	0	65535
363	0	0	0	0	65535
364	0	0	0	0	65535
365	0	0	0	0	65535
366	0	0	0	0	65535
367	0	0	0	0	65535
368	0	0	0	0	65535
369	0	0	0	0	65535
370	0	0	0	0	65535
371	0	0	0	0	65535
372	0	0	0	0	65535
373	0	0	0	0	65535
374	0	0	0	0	65535
375	0	0	0	0	65535
376	0	0	0	0	65535
377	0	0	0	0	65535
378	0	0	0	0	65535
379	0	0	0	0	65535
380	0	0	0	0	65535
381	0	0	0	0	65535
382	0	0	0	0	65535
383	0	0	0	0	65535
384	0	0	0	0	65535
385	0	0	0	0	65535
386	0	0	0	0	65535
387	0	0	0	0	65535
388	0	0	0	0	65535
389	0	0	0	0	65535
390	0	0	0	0	65535
391	0	0	0	0	65535
392	0	0	0	0	65535
393	0	0	0	0	65535
394	0	0	0	0	65535
395	0	0	0	0	65535
396	0	0	0	0	65535
397	0	0	0	0	65535
398	0	0	0	0	65535
399	0	0	0	0	65535
400	0	0	0	0	65535
401	0	0	0	0	65535
402	0	0	0	0	65535
403	0	0	0	0	65535
404	0	0	0	0	65535
405	0	0	0	0	65535
406	0	0	0	0	65535
407	0	0	0	0	65535
408	0	0	0	0	65535
409	0	0	0	0	65535
410	0	0	0	0	65535
411	0	0	0	0	65535
412	0	0	0	0	65535
413	0	0	0	0	65535
414	0	0	0	0	65535
415	0	0	0	0	65535
416	0	0	0	0	65535
417	0	0	0	0	65535
418	0	0	0	0	65535
419	0	0	0	0	65535
420	0	0	0	0	65535
421	0	0	0	0	65535
422	0	0	0	0	65535
423	0	0	0	0	65535
424	0	0	0	0	65535
425	0	0	0	0	65535
426	0	0	0	0	65535
427	0	0	0	0	65535
428	0	0	0	0	65535
429	0	0	0	0	65535
430	0	0	0	0	65535
431	0	0	0	0	65535
432	0	0	0	0	65535
433	0	0	0	0	65535
434	0	0	0	0	65535
435	0	0	0	0	65535
436	0	0	0	0	65535
437	0	0	0	0	65535
