detector row	table 0	table 1	table 2	table 3	wavelength
296	1	1	1	1	1980.84
297	1	1	1	1	1974.24
298	1	0	1	0	1967.64
299	1	0	1	0	1961.04
300	1	0	1	0	1954.44
301	1	0	1	0	1947.85
302	1	0	1	0	1941.25
303	1	0	1	0	1934.65
304	1	1	1	1	1928.06
305	1	0	1	0	1921.46
306	1	0	1	0	1914.87
307	1	0	1	1	1908.27
308	1	0	1	0	1901.68
309	1	0	1	0	1895.08
310	1	0	1	0	1888.49
311	1	0	1	0	1881.9
312	1	1	1	1	1875.3
313	1	0	1	0	1868.71
314	1	0	1	0	1862.12
315	1	0	0	0	1855.52
316	1	0	0	0	1848.93
317	1	0	0	0	1842.34
318	1	0	1	1	1835.75
319	1	0	0	0	1829.16
320	1	0	0	0	1822.57
321	1	0	0	0	1815.98
322	1	1	1	1	1809.39
323	1	0	0	0	1802.8
324	1	0	0	0	1796.21
325	1	0	0	0	1789.62
326	1	0	0	0	1783.03
327	1	0	1	1	1776.44
328	1	0	0	0	1769.85
329	1	0	0	0	1763.27
330	1	0	0	0	1756.68
331	1	1	1	1	1750.09
332	1	0	0	0	1743.51
333	1	0	0	0	1736.92
334	1	0	1	1	1730.33
335	1	0	0	0	1723.75
336	1	0	0	0	1717.16
337	1	0	1	1	1710.58
338	1	0	0	0	1703.99
339	1	0	0	0	1697.41
340	1	1	1	1	1690.82
341	1	0	0	0	1684.24
342	1	0	0	0	1677.66
343	1	0	0	0	1671.07
344	1	0	0	0	1664.49
345	1	1	1	1	1657.91
346	1	0	0	0	1651.33
347	1	0	0	0	1644.74
348	1	0	0	0	1638.16
349	1	0	0	0	1631.58
350	1	1	1	1	1625
351	1	0	0	0	1618.42
352	1	0	0	0	1611.84
353	1	0	0	0	1605.26
354	1	0	0	0	1598.68
355	1	0	0	0	1592.1
356	1	0	0	0	1585.52
357	1	0	0	0	1578.95
358	1	0	0	0	1572.37
359	1	0	0	0	1565.79
360	1	1	1	1	1559.21
361	1	0	0	0	1552.64
362	1	0	0	0	1546.06
363	1	0	0	0	1539.48
364	1	0	0	0	1532.91
365	1	0	0	0	1526.33
366	1	0	0	0	1519.76
367	1	0	0	0	1513.18
368	1	1	1	1	1506.61
369	1	1	1	1	1500.03
370	1	0	1	0	1493.46
371	1	0	1	0	1486.88
372	1	0	1	0	1480.31
373	1	0	1	0	1473.74
374	1	1	1	1	1467.16
375	1	0	1	0	1460.59
376	1	0	1	0	1454.02
377	1	0	1	1	1447.45
378	1	0	1	0	1440.88
379	1	0	1	0	1434.31
380	1	1	1	1	1427.73
381	1	0	1	0	1421.16
382	1	0	1	0	1414.59
383	1	0	1	0	1408.02
384	1	0	1	0	1401.45
385	1	1	1	1	1394.89
386	1	0	1	0	1388.32
387	1	0	1	0	1381.75
388	1	0	1	0	1375.18
389	1	1	1	1	1368.61
390	1	0	1	0	1362.05
391	1	0	0	0	1355.48
392	1	0	0	0	1348.91
393	1	0	0	0	1342.34
394	1	0	0	0	1335.78
395	1	1	1	1	1329.21
396	1	0	0	0	1322.65
397	1	0	0	0	1316.08
398	1	0	0	0	1309.52
399	1	0	0	0	1302.95
400	1	0	0	0	1296.39
401	1	0	0	0	1289.83
402	1	0	0	0	1283.26
403	1	1	1	1	1276.7
404	1	0	0	0	1270.14
405	1	1	1	1	1263.57
406	1	1	1	1	1257.01
407	1	1	1	1	1250.45
408	1	0	0	0	1243.89
409	1	0	0	0	1237.33
410	1	0	0	0	1230.77
411	1	0	0	0	1224.21
412	1	0	0	0	1217.65
413	1	1	1	1	1211.09
414	1	0	0	0	1204.53
415	1	0	0	0	1197.97
416	1	0	0	0	1191.41
417	1	0	0	0	1184.85
418	1	0	0	0	1178.29
419	1	0	0	0	1171.73
420	1	0	0	0	1165.18
421	1	0	0	0	1158.62
422	1	1	1	1	1152.06
423	1	0	0	0	1145.51
424	1	0	0	0	1138.95
425	1	0	0	0	1132.39
426	1	0	0	0	1125.84
427	1	0	0	0	1119.28
428	1	0	0	0	1112.73
429	1	0	0	0	1106.17
430	1	0	0	0	1099.62
431	1	0	0	0	1093.07
432	1	0	0	0	1086.51
433	1	1	1	1	1079.96
434	1	0	0	0	1073.41
435	1	0	0	0	1066.85
436	1	0	0	0	1060.3
437	1	0	0	0	1053.75
438	1	1	1	1	1047.2
439	1	0	0	0	1040.65
440	1	0	0	0	1034.1
441	1	0	0	0	1027.55
442	1	1	1	1	1021
443	1	0	0	0	1014.45
444	1	0	0	0	1007.9
445	1	0	0	0	1001.35
446	0	0	0	0	65535
447	0	0	0	0	65535
448	0	0	0	0	65535
449	0	0	0	0	65535
450	0	0	0	0	65535
451	0	0	0	0	65535
452	0	0	0	0	65535
453	0	0	0	0	65535
454	0	0	0	0	65535
455	0	0	0	0	65535
456	0	0	0	0	65535
457	0	0	0	0	65535
458	0	0	0	0	65535
459	0	0	0	0	65535
460	0	0	0	0	65535
461	0	0	0	0	65535
462	0	0	0	0	65535
463	0	0	0	0	65535
464	0	0	0	0	65535
465	0	0	0	0	65535
466	0	0	0	0	65535
467	0	0	0	0	65535
468	0	0	0	0	65535
469	0	0	0	0	65535
470	0	0	0	0	65535
471	0	0	0	0	65535
472	0	0	0	0	65535
473	0	0	0	0	65535
474	0	0	0	0	65535
475	0	0	0	0	65535
476	0	0	0	0	65535
477	0	0	0	0	65535
478	0	0	0	0	65535
479	0	0	0	0	65535
